Type,Questions,Answer,Code,Dataset_Name,Date_Generated
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when GENRE is 'Family' than when GENRE is 'Drama',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Family' and when GENRE = 'Drama';permutation_test(df, 'genre', 'imdb_score', 10000, 'Family', 'Drama');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when GROSS is 'Medium' than when GROSS is 'High',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GROSS = 'Medium' and when GROSS = 'High';permutation_test(df, 'Gross', 'imdb_score', 10000, 'Medium', 'High');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that COUNTRY is not 'Brazil',  verify hypothesis that the average IMDB_SCORE is higher when CONTENT is 'PG' than when CONTENT is 'R'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'PG' and when CONTENT = 'R';df <- df[df$country != 'Brazil', ];mean(df[df$content == 'PG', ]$imdb_score); mean(df[df$content == 'R', ]$imdb_score);permutation_test(df, 'content', 'imdb_score', 10000, 'PG', 'R');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when BUDGET is 'Medium' than when BUDGET is 'Low',  where GROSS is not 'Medium'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when BUDGET = 'Medium' and when BUDGET = 'Low';df <- df[df$Gross != 'Medium', ];mean(df[df$Budget == 'Medium', ]$imdb_score); mean(df[df$Budget == 'Low', ]$imdb_score);permutation_test(df, 'Budget', 'imdb_score', 10000, 'Medium', 'Low');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Comedy' than when GENRE is 'Action',  where GROSS is not 'High'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Comedy' and when GENRE = 'Action';df <- df[df$Gross != 'High', ];mean(df[df$genre == 'Comedy', ]$imdb_score); mean(df[df$genre == 'Action', ]$imdb_score);permutation_test(df, 'genre', 'imdb_score', 10000, 'Comedy', 'Action');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Kyrgyzstan' than when COUNTRY is 'Libya',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Kyrgyzstan' and when COUNTRY = 'Libya';permutation_test(df, 'country', 'imdb_score', 10000, 'Kyrgyzstan', 'Libya');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when CONTENT is 'G' than when CONTENT is 'R',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'G' and when CONTENT = 'R';permutation_test(df, 'content', 'imdb_score', 10000, 'G', 'R');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when BUDGET is 'Medium' than when BUDGET is 'Low',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when BUDGET = 'Medium' and when BUDGET = 'Low';permutation_test(df, 'Budget', 'imdb_score', 10000, 'Medium', 'Low');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when GENRE is 'Family' than when GENRE is 'Sci-Fi',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Family' and when GENRE = 'Sci-Fi';permutation_test(df, 'genre', 'imdb_score', 10000, 'Family', 'Sci-Fi');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when CONTENT is 'PG' than when CONTENT is 'R',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'PG' and when CONTENT = 'R';permutation_test(df, 'content', 'imdb_score', 10000, 'PG', 'R');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that GENRE is 'History',  verify hypothesis that the average IMDB_SCORE is higher when CONTENT is 'PG-13' than when CONTENT is 'G'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'PG-13' and when CONTENT = 'G';df <- df[df$genre == 'History', ];mean(df[df$content == 'PG-13', ]$imdb_score); mean(df[df$content == 'G', ]$imdb_score);permutation_test(df, 'content', 'imdb_score', 10000, 'PG-13', 'G');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Israel' than when COUNTRY is 'Mexico',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Israel' and when COUNTRY = 'Mexico';permutation_test(df, 'country', 'imdb_score', 10000, 'Israel', 'Mexico');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Hungary' than when COUNTRY is 'UK',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Hungary' and when COUNTRY = 'UK';permutation_test(df, 'country', 'imdb_score', 10000, 'Hungary', 'UK');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when GROSS is 'Medium' than when GROSS is 'Low',  where BUDGET is 'Medium'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GROSS = 'Medium' and when GROSS = 'Low';df <- df[df$Budget == 'Medium', ];mean(df[df$Gross == 'Medium', ]$imdb_score); mean(df[df$Gross == 'Low', ]$imdb_score);permutation_test(df, 'Gross', 'imdb_score', 10000, 'Medium', 'Low');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Slovakia' than when COUNTRY is 'Germany',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Slovakia' and when COUNTRY = 'Germany';permutation_test(df, 'country', 'imdb_score', 10000, 'Slovakia', 'Germany');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when CONTENT is 'PG-13' than when CONTENT is 'PG',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'PG-13' and when CONTENT = 'PG';permutation_test(df, 'content', 'imdb_score', 10000, 'PG-13', 'PG');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when GROSS is 'Medium' than when GROSS is 'Low',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GROSS = 'Medium' and when GROSS = 'Low';permutation_test(df, 'Gross', 'imdb_score', 10000, 'Medium', 'Low');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Germany' than when COUNTRY is 'Chile',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Germany' and when COUNTRY = 'Chile';permutation_test(df, 'country', 'imdb_score', 10000, 'Germany', 'Chile');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Greece' than when COUNTRY is 'Australia',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Greece' and when COUNTRY = 'Australia';permutation_test(df, 'country', 'imdb_score', 10000, 'Greece', 'Australia');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'South Africa' than when COUNTRY is 'Thailand',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'South Africa' and when COUNTRY = 'Thailand';permutation_test(df, 'country', 'imdb_score', 10000, 'South Africa', 'Thailand');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when CONTENT is 'R' than when CONTENT is 'PG-13',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'R' and when CONTENT = 'PG-13';permutation_test(df, 'content', 'imdb_score', 10000, 'R', 'PG-13');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when GENRE is 'Drama' than when GENRE is 'Sci-Fi',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Drama' and when GENRE = 'Sci-Fi';permutation_test(df, 'genre', 'imdb_score', 10000, 'Drama', 'Sci-Fi');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when CONTENT is 'PG' than when CONTENT is 'PG-13',  where COUNTRY is not 'Indonesia'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'PG' and when CONTENT = 'PG-13';df <- df[df$country != 'Indonesia', ];mean(df[df$content == 'PG', ]$imdb_score); mean(df[df$content == 'PG-13', ]$imdb_score);permutation_test(df, 'content', 'imdb_score', 10000, 'PG', 'PG-13');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Japan' than when COUNTRY is 'UK',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Japan' and when COUNTRY = 'UK';permutation_test(df, 'country', 'imdb_score', 10000, 'Japan', 'UK');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Comedy' than when GENRE is 'Action',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Comedy' and when GENRE = 'Action';permutation_test(df, 'genre', 'imdb_score', 10000, 'Comedy', 'Action');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Dominican Republic' than when COUNTRY is 'Thailand',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Dominican Republic' and when COUNTRY = 'Thailand';permutation_test(df, 'country', 'imdb_score', 10000, 'Dominican Republic', 'Thailand');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Peru' than when COUNTRY is 'Aruba',  where GROSS is not 'High'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Peru' and when COUNTRY = 'Aruba';df <- df[df$Gross != 'High', ];mean(df[df$country == 'Peru', ]$imdb_score); mean(df[df$country == 'Aruba', ]$imdb_score);permutation_test(df, 'country', 'imdb_score', 10000, 'Peru', 'Aruba');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that CONTENT is 'R',  verify hypothesis that the average IMDB_SCORE is higher when BUDGET is 'Low' than when BUDGET is 'High'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when BUDGET = 'Low' and when BUDGET = 'High';df <- df[df$content == 'R', ];mean(df[df$Budget == 'Low', ]$imdb_score); mean(df[df$Budget == 'High', ]$imdb_score);permutation_test(df, 'Budget', 'imdb_score', 10000, 'Low', 'High');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Family' than when GENRE is 'Sci-Fi',  where COUNTRY is 'New Zealand'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Family' and when GENRE = 'Sci-Fi';df <- df[df$country == 'New Zealand', ];mean(df[df$genre == 'Family', ]$imdb_score); mean(df[df$genre == 'Sci-Fi', ]$imdb_score);permutation_test(df, 'genre', 'imdb_score', 10000, 'Family', 'Sci-Fi');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Comedy' than when GENRE is 'Sci-Fi',  where GROSS is not 'Medium'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Comedy' and when GENRE = 'Sci-Fi';df <- df[df$Gross != 'Medium', ];mean(df[df$genre == 'Comedy', ]$imdb_score); mean(df[df$genre == 'Sci-Fi', ]$imdb_score);permutation_test(df, 'genre', 'imdb_score', 10000, 'Comedy', 'Sci-Fi');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when CONTENT is 'G' than when CONTENT is 'PG',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when CONTENT = 'G' and when CONTENT = 'PG';permutation_test(df, 'content', 'imdb_score', 10000, 'G', 'PG');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when GENRE is 'History' than when GENRE is 'Comedy',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'History' and when GENRE = 'Comedy';permutation_test(df, 'genre', 'imdb_score', 10000, 'History', 'Comedy');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Italy' than when COUNTRY is 'Slovakia',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Italy' and when COUNTRY = 'Slovakia';permutation_test(df, 'country', 'imdb_score', 10000, 'Italy', 'Slovakia');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that GENRE is not 'Drama',  verify hypothesis that the average IMDB_SCORE is higher when GROSS is 'High' than when GROSS is 'Low'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GROSS = 'High' and when GROSS = 'Low';df <- df[df$genre != 'Drama', ];mean(df[df$Gross == 'High', ]$imdb_score); mean(df[df$Gross == 'Low', ]$imdb_score);permutation_test(df, 'Gross', 'imdb_score', 10000, 'High', 'Low');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Norway' than when COUNTRY is 'Bulgaria',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Norway' and when COUNTRY = 'Bulgaria';permutation_test(df, 'country', 'imdb_score', 10000, 'Norway', 'Bulgaria');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Family' than when GENRE is 'Sci-Fi',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Family' and when GENRE = 'Sci-Fi';permutation_test(df, 'genre', 'imdb_score', 10000, 'Family', 'Sci-Fi');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when BUDGET is 'Low' than when BUDGET is 'High',  where GENRE is 'Action'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when BUDGET = 'Low' and when BUDGET = 'High';df <- df[df$genre == 'Action', ];mean(df[df$Budget == 'Low', ]$imdb_score); mean(df[df$Budget == 'High', ]$imdb_score);permutation_test(df, 'Budget', 'imdb_score', 10000, 'Low', 'High');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that CONTENT is 'R',  verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Comedy' than when GENRE is 'Action'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Comedy' and when GENRE = 'Action';df <- df[df$content == 'R', ];mean(df[df$genre == 'Comedy', ]$imdb_score); mean(df[df$genre == 'Action', ]$imdb_score);permutation_test(df, 'genre', 'imdb_score', 10000, 'Comedy', 'Action');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when GENRE is 'History' than when GENRE is 'Family',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'History' and when GENRE = 'Family';permutation_test(df, 'genre', 'imdb_score', 10000, 'History', 'Family');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Comedy' than when GENRE is 'Drama',  where BUDGET is 'Medium'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Comedy' and when GENRE = 'Drama';df <- df[df$Budget == 'Medium', ];mean(df[df$genre == 'Comedy', ]$imdb_score); mean(df[df$genre == 'Drama', ]$imdb_score);permutation_test(df, 'genre', 'imdb_score', 10000, 'Comedy', 'Drama');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Indonesia' than when COUNTRY is 'Dominican Republic',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Indonesia' and when COUNTRY = 'Dominican Republic';permutation_test(df, 'country', 'imdb_score', 10000, 'Indonesia', 'Dominican Republic');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that GENRE is 'Action',  verify hypothesis that the average IMDB_SCORE is higher when GROSS is 'High' than when GROSS is 'Low'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GROSS = 'High' and when GROSS = 'Low';df <- df[df$genre == 'Action', ];mean(df[df$Gross == 'High', ]$imdb_score); mean(df[df$Gross == 'Low', ]$imdb_score);permutation_test(df, 'Gross', 'imdb_score', 10000, 'High', 'Low');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when GENRE is 'Action' than when GENRE is 'Comedy',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GENRE = 'Action' and when GENRE = 'Comedy';permutation_test(df, 'genre', 'imdb_score', 10000, 'Action', 'Comedy');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that GENRE is not 'Drama',  verify hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Argentina' than when COUNTRY is 'West Germany'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Argentina' and when COUNTRY = 'West Germany';df <- df[df$genre != 'Drama', ];mean(df[df$country == 'Argentina', ]$imdb_score); mean(df[df$country == 'West Germany', ]$imdb_score);permutation_test(df, 'country', 'imdb_score', 10000, 'Argentina', 'West Germany');",MOVIE DATASET,2024-04-07
Hypothesis Question,"Given that COUNTRY is 'USA',  verify hypothesis that the average IMDB_SCORE is higher when GROSS is 'Medium' than when GROSS is 'Low'","Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when GROSS = 'Medium' and when GROSS = 'Low';df <- df[df$country == 'USA', ];mean(df[df$Gross == 'Medium', ]$imdb_score); mean(df[df$Gross == 'Low', ]$imdb_score);permutation_test(df, 'Gross', 'imdb_score', 10000, 'Medium', 'Low');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Switzerland' than when COUNTRY is 'Australia',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Switzerland' and when COUNTRY = 'Australia';permutation_test(df, 'country', 'imdb_score', 10000, 'Switzerland', 'Australia');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'China' than when COUNTRY is 'Soviet Union',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'China' and when COUNTRY = 'Soviet Union';permutation_test(df, 'country', 'imdb_score', 10000, 'China', 'Soviet Union');",MOVIE DATASET,2024-04-07
Hypothesis Question,Verify hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Sweden' than when COUNTRY is 'Romania',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Sweden' and when COUNTRY = 'Romania';permutation_test(df, 'country', 'imdb_score', 10000, 'Sweden', 'Romania');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Slovakia' than when COUNTRY is 'Thailand',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Slovakia' and when COUNTRY = 'Thailand';permutation_test(df, 'country', 'imdb_score', 10000, 'Slovakia', 'Thailand');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'China' than when COUNTRY is 'Hungary',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'China' and when COUNTRY = 'Hungary';permutation_test(df, 'country', 'imdb_score', 10000, 'China', 'Hungary');",MOVIE DATASET,2024-04-07
Hypothesis Question,Test the hypothesis that the average IMDB_SCORE is higher when COUNTRY is 'Kyrgyzstan' than when COUNTRY is 'West Germany',"Run the code by clicking the solution button and checking. If the output is lesser than 0.05 (customary significance level of 5%) then we reject the null hypothesis mentioned in the solution.R window, else we fail to reject the null hypothesis.","# Null Hypothesis : The average IMDB_SCORE is the same when COUNTRY = 'Kyrgyzstan' and when COUNTRY = 'West Germany';permutation_test(df, 'country', 'imdb_score', 10000, 'Kyrgyzstan', 'West Germany');",MOVIE DATASET,2024-04-07
